District,Soil_Type,Crop_Type,Day_After_Sowing,Temperature(°C),Humidity(%),Rainfall(mm),Area_in_Acre,Water_Requirement(L/day)
Sahebganj,Clay Loam,Cotton,47,29.5,64.9,44.1,6.2,13021.0
Koderma,Gravelly Soil,Cotton,111,39.5,65.2,48.2,2.69,10420.0
Godda,Alluvial Soil,Barley,7,26.7,79.3,44.2,3.73,7837.0
Jamtara,Laterite Soil,Sunflower,117,39.7,46.2,5.4,6.99,14366.0
Ranchi,Black Soil,Rice,64,21.3,44.1,31.6,6.22,15095.0
Dhanbad,Black Soil,Linseed,82,33.7,60.1,22.1,4.01,9035.0
Bokaro,Black Soil,Cotton,64,29.1,84.4,6.3,1.56,8512.0
Simdega,Laterite Soil,Millet,92,36.4,82.8,27.8,3.75,8550.0
Deoghar,Black Soil,Linseed,12,35.8,68.0,17.8,0.92,6004.0
Latehar,Sandy Loam,Sorghum,12,36.0,84.4,17.3,6.02,11342.0
Giridih,Alluvial Soil,Wheat,36,21.9,80.3,4.7,3.57,8957.0
Lohardaga,Sandy Loam,Rice,29,36.4,53.9,48.9,4.11,13855.0
Gumla,Gravelly Soil,Mustard,139,24.3,48.5,36.3,5.96,9909.0
Gumla,Alluvial Soil,Wheat,85,20.5,55.1,14.0,6.02,11837.0
Bokaro,Laterite Soil,Sesame,74,24.4,51.4,45.9,6.09,10370.0
Palamu,Sandy Loam,Millet,47,29.6,71.1,47.4,5.17,9249.0
Lohardaga,Clay Loam,Millet,81,34.8,69.2,40.5,5.14,9934.0
Lohardaga,Alluvial Soil,Sesame,121,24.4,69.9,33.0,8.3,12283.0
Bokaro,Laterite Soil,Jowar,43,22.3,49.5,18.8,4.94,9809.0
Simdega,Red Sandy Soil,Linseed,146,32.9,79.6,21.7,5.59,9958.0
Simdega,Alluvial Soil,Rice,74,39.7,61.7,22.8,9.89,20253.0
Hazaribagh,Alluvial Soil,Wheat,53,32.0,63.6,47.4,2.22,8264.0
Dhanbad,Gravelly Soil,Rice,39,33.8,89.8,38.0,7.4,16026.0
Palamu,Clay Loam,Barley,107,31.2,54.1,14.6,5.0,10905.0
Gumla,Gravelly Soil,Sesame,37,35.6,59.7,31.2,8.39,13835.0
Godda,Black Soil,Maize,97,39.5,73.8,29.7,4.34,10682.0
Chatra,Alluvial Soil,Rice,49,30.9,84.0,40.6,3.38,11838.0
Koderma,Alluvial Soil,Ragi,128,28.3,46.3,4.8,2.47,8215.0
Simdega,Black Soil,Cotton,10,37.2,76.8,35.1,8.79,16204.0
Hazaribagh,Clay Loam,Sorghum,40,39.4,85.9,16.6,7.32,12951.0
Palamu,Clay Loam,Ragi,146,22.6,61.1,6.5,1.23,5927.0
Koderma,Sandy Loam,Sorghum,106,31.6,54.3,36.6,7.28,12679.0
Pakur,Laterite Soil,Millet,41,35.8,73.9,16.6,0.83,6061.0
Khunti,Laterite Soil,Jowar,2,30.7,52.3,36.5,2.23,7501.0
Koderma,Sandy Loam,Mustard,53,28.2,59.2,8.1,6.13,10712.0
Dumka,Laterite Soil,Jowar,147,33.1,84.8,49.3,4.9,9180.0
Lohardaga,Alluvial Soil,Wheat,26,25.4,69.5,40.2,8.48,13831.0
Dhanbad,Sandy Loam,Linseed,54,27.0,44.7,14.5,6.27,11239.0
Dumka,Sandy Loam,Barley,51,39.8,56.5,37.0,9.67,15915.0
Deoghar,Laterite Soil,Barley,114,32.7,71.4,6.8,8.62,14312.0
Jamtara,Red Sandy Soil,Mustard,17,37.5,64.1,32.7,3.73,8603.0
Jamtara,Laterite Soil,Ragi,120,36.2,73.0,3.0,8.42,14190.0
Giridih,Gravelly Soil,Rice,46,33.0,78.1,16.7,8.76,18083.0
Koderma,Red Sandy Soil,Sorghum,55,36.8,64.0,48.9,9.71,15092.0
Hazaribagh,Sandy Loam,Ragi,50,25.7,89.3,6.0,0.62,4791.0
Godda,Red Sandy Soil,Rice,75,32.7,85.7,29.9,8.81,17611.0
Simdega,Alluvial Soil,Linseed,11,31.8,43.0,3.5,1.16,6880.0
Giridih,Clay Loam,Wheat,140,32.4,53.3,33.5,5.52,12191.0
Deoghar,Red Sandy Soil,Sorghum,48,23.4,55.0,13.9,4.44,9452.0
Latehar,Gravelly Soil,Sunflower,121,25.5,49.2,15.5,9.24,14904.0
Pakur,Clay Loam,Wheat,56,25.7,55.6,16.9,4.35,10614.0
Bokaro,Alluvial Soil,Sugarcane,8,32.0,61.2,10.3,6.16,18018.0
Deoghar,Gravelly Soil,Rice,14,39.5,42.6,47.1,7.07,17500.0
Dumka,Black Soil,Sunflower,114,39.1,46.4,45.3,0.68,7192.0
Jamtara,Clay Loam,Wheat,54,24.5,44.8,43.5,6.11,12046.0
Gumla,Black Soil,Barley,17,26.1,42.3,5.3,5.42,11355.0
Palamu,Alluvial Soil,Maize,133,20.7,64.1,11.7,6.14,11253.0
Chatra,Clay Loam,Millet,131,28.0,56.7,30.6,1.22,5907.0
Giridih,Clay Loam,Rice,9,36.7,86.8,48.5,1.03,9826.0
Dumka,Laterite Soil,Sugarcane,122,38.3,45.1,30.2,2.19,14763.0
Seraikela-Kharsawan,Gravelly Soil,Millet,114,24.7,86.3,16.4,8.76,12513.0
Deoghar,Gravelly Soil,Cotton,20,25.3,44.3,40.9,3.89,10973.0
Lohardaga,Red Sandy Soil,Maize,83,24.4,71.0,6.8,4.62,9994.0
Dhanbad,Black Soil,Jowar,21,27.0,52.4,44.1,4.21,8956.0
Dumka,Black Soil,Rice,33,36.1,81.3,48.7,7.29,16187.0
Godda,Gravelly Soil,Sorghum,133,32.9,43.1,48.4,2.97,8599.0
Godda,Gravelly Soil,Sesame,26,35.7,87.6,7.4,1.15,6244.0
Sahebganj,Clay Loam,Jowar,108,31.7,42.4,27.5,4.09,9938.0
Bokaro,Black Soil,Sugarcane,89,25.2,52.1,29.2,7.41,18483.0
Bokaro,Sandy Loam,Sorghum,92,24.6,63.2,9.7,9.19,14160.0
Sahebganj,Laterite Soil,Linseed,33,20.2,77.8,27.3,0.98,4020.0
Chatra,Red Sandy Soil,Rice,18,35.6,87.6,32.3,8.2,17186.0
Khunti,Laterite Soil,Sunflower,18,36.9,61.4,16.4,1.13,7550.0
Giridih,Red Sandy Soil,Sugarcane,33,35.4,77.9,15.8,3.64,15227.0
Deoghar,Alluvial Soil,Groundnut,27,21.5,76.4,3.0,0.71,5208.0
Dhanbad,Clay Loam,Sugarcane,49,35.2,68.6,47.8,9.16,20366.0
Ranchi,Gravelly Soil,Wheat,143,20.9,74.5,40.2,7.21,11961.0
Seraikela-Kharsawan,Gravelly Soil,Sesame,108,22.1,41.9,38.0,4.01,8503.0
Lohardaga,Sandy Loam,Linseed,68,28.8,62.1,1.1,4.09,8985.0
Godda,Black Soil,Wheat,99,29.5,79.3,31.2,6.58,12227.0
Simdega,Black Soil,Jowar,19,36.3,63.7,9.0,1.35,7389.0
Dumka,Laterite Soil,Groundnut,25,33.6,83.7,33.1,1.88,6767.0
Dhanbad,Laterite Soil,Ragi,104,23.1,81.7,31.1,8.55,12187.0
Chatra,Laterite Soil,Sorghum,76,24.5,83.2,42.6,2.42,6122.0
Pakur,Black Soil,Sugarcane,76,25.7,46.5,12.8,7.4,19019.0
Latehar,Gravelly Soil,Sunflower,106,22.5,52.2,1.4,2.65,8206.0
Ranchi,Black Soil,Cotton,33,25.8,41.5,45.7,1.34,8461.0
Jamtara,Laterite Soil,Jowar,37,34.6,89.1,45.4,9.05,13429.0
Sahebganj,Clay Loam,Millet,92,24.8,51.8,22.8,9.07,13740.0
Chatra,Red Sandy Soil,Wheat,124,36.7,58.4,3.9,6.25,13790.0
Chatra,Gravelly Soil,Millet,43,29.4,53.7,24.9,4.89,9921.0
Dumka,Clay Loam,Ragi,126,26.5,42.0,26.2,5.75,11016.0
Khunti,Alluvial Soil,Sunflower,9,28.2,53.1,41.1,4.38,9685.0
Gumla,Clay Loam,Millet,14,34.2,44.9,35.9,7.69,13245.0
Giridih,Clay Loam,Sunflower,131,30.3,59.7,3.5,7.67,13739.0
Gumla,Alluvial Soil,Groundnut,69,20.1,88.3,35.3,8.28,11635.0
Seraikela-Kharsawan,Clay Loam,Jowar,26,38.4,74.9,6.8,5.47,11427.0
Hazaribagh,Red Sandy Soil,Sunflower,127,21.3,75.3,4.5,8.11,12791.0
Simdega,Gravelly Soil,Barley,53,38.8,62.7,19.9,1.98,8281.0
Lohardaga,Sandy Loam,Linseed,41,20.6,80.6,3.9,0.79,4254.0
Gumla,Black Soil,Jowar,82,35.4,85.4,41.5,6.66,11308.0
Dumka,Alluvial Soil,Linseed,102,30.7,88.1,23.2,1.5,5363.0
Latehar,Gravelly Soil,Barley,21,30.1,44.9,29.4,5.73,11505.0
Dumka,Laterite Soil,Sugarcane,121,21.5,84.0,28.8,7.35,17104.0
Latehar,Red Sandy Soil,Barley,39,24.8,51.3,48.9,4.37,9033.0
Chatra,Sandy Loam,Rice,69,35.6,59.9,45.8,0.92,10467.0
Latehar,Red Sandy Soil,Sesame,75,37.8,57.3,42.5,8.93,14441.0
Dhanbad,Red Sandy Soil,Sugarcane,62,30.6,73.8,19.2,0.91,12072.0
Seraikela-Kharsawan,Laterite Soil,Ragi,45,27.1,69.9,7.3,9.1,13967.0
Lohardaga,Sandy Loam,Barley,27,21.2,45.5,29.6,1.0,5863.0
Hazaribagh,Black Soil,Cotton,116,33.6,79.1,22.0,7.48,14727.0
Dumka,Red Sandy Soil,Millet,142,25.6,62.0,11.3,9.29,13964.0
Dhanbad,Laterite Soil,Sorghum,41,21.1,40.1,4.9,9.12,14529.0
Godda,Alluvial Soil,Sugarcane,106,33.3,60.7,21.8,8.99,20763.0
Godda,Laterite Soil,Millet,74,29.7,65.8,32.5,8.89,13436.0
Simdega,Clay Loam,Mustard,60,20.2,43.4,31.3,5.35,9142.0
Koderma,Gravelly Soil,Jowar,42,22.2,47.6,38.7,5.8,10318.0
Sahebganj,Laterite Soil,Barley,122,34.0,89.7,23.3,6.39,11333.0
Hazaribagh,Laterite Soil,Sorghum,11,21.3,83.6,16.1,9.01,12910.0
Pakur,Laterite Soil,Millet,147,37.3,46.7,26.9,8.46,14451.0
Dumka,Black Soil,Barley,118,26.2,69.0,48.8,7.94,12214.0
Jamtara,Red Sandy Soil,Sesame,65,21.8,59.0,2.3,6.92,11584.0
Godda,Black Soil,Millet,47,35.2,67.2,26.4,6.37,11546.0
Lohardaga,Sandy Loam,Ragi,14,30.5,63.5,16.5,9.26,14475.0
Sahebganj,Laterite Soil,Cotton,67,26.1,42.4,5.3,2.33,10262.0
Khunti,Laterite Soil,Sunflower,109,28.1,55.8,21.7,2.33,7932.0
Jamtara,Clay Loam,Linseed,10,20.4,46.3,32.1,9.83,13739.0
Dhanbad,Clay Loam,Linseed,124,33.3,64.4,26.4,5.76,10530.0
Lohardaga,Alluvial Soil,Maize,17,27.3,85.4,1.5,5.09,10428.0
Deoghar,Alluvial Soil,Cotton,143,34.3,89.8,29.0,8.58,15436.0
Pakur,Clay Loam,Sesame,97,32.6,87.2,11.6,8.57,13282.0
Godda,Sandy Loam,Wheat,57,33.0,89.3,17.1,2.18,8159.0
Gumla,Alluvial Soil,Barley,138,35.9,40.8,15.6,2.15,8904.0
Gumla,Gravelly Soil,Cotton,71,32.6,76.5,42.9,8.06,14867.0
Lohardaga,Gravelly Soil,Rice,97,28.4,53.6,2.4,7.96,17844.0
Dumka,Sandy Loam,Barley,17,27.8,83.3,17.4,2.64,7273.0
Pakur,Clay Loam,Groundnut,76,22.4,80.7,19.7,8.49,12615.0
Simdega,Alluvial Soil,Linseed,17,35.6,61.2,30.9,5.06,10066.0
Bokaro,Laterite Soil,Sesame,111,35.2,63.7,39.4,4.96,10081.0
Koderma,Clay Loam,Jowar,120,24.9,53.3,36.4,9.86,14523.0
Hazaribagh,Alluvial Soil,Jowar,144,37.3,54.4,37.6,5.43,11276.0
Gumla,Sandy Loam,Wheat,119,31.8,89.1,9.6,1.8,7815.0
Palamu,Gravelly Soil,Sunflower,78,29.6,84.4,45.6,3.16,7576.0
Koderma,Sandy Loam,Sesame,3,20.3,49.6,20.7,3.67,8098.0
Gumla,Alluvial Soil,Rice,108,27.7,53.8,0.6,9.61,19454.0
Latehar,Sandy Loam,Wheat,51,32.8,45.4,33.4,3.01,9960.0
Palamu,Alluvial Soil,Sugarcane,114,21.8,89.4,30.2,4.59,14184.0
Pakur,Alluvial Soil,Barley,94,29.2,85.4,6.3,7.62,12552.0
Simdega,Sandy Loam,Rice,116,39.9,67.6,48.0,3.1,12802.0
Godda,Red Sandy Soil,Mustard,105,34.3,74.6,28.1,7.17,11500.0
Sahebganj,Laterite Soil,Sunflower,99,30.9,77.4,23.5,2.47,7668.0
Sahebganj,Clay Loam,Millet,76,30.7,50.2,19.9,2.8,8166.0
Bokaro,Gravelly Soil,Groundnut,81,20.9,86.7,10.5,9.87,13849.0
Palamu,Laterite Soil,Linseed,72,39.1,66.3,47.6,4.0,8869.0
Giridih,Clay Loam,Linseed,147,38.6,44.6,35.1,7.43,13150.0
Lohardaga,Clay Loam,Linseed,143,33.6,59.9,28.4,8.48,13375.0
Bokaro,Gravelly Soil,Barley,111,22.0,70.1,31.6,3.8,7965.0
Gumla,Laterite Soil,Groundnut,58,24.2,57.6,42.0,3.89,8442.0
Pakur,Gravelly Soil,Rice,78,23.7,75.0,31.8,7.84,16024.0
Giridih,Alluvial Soil,Millet,48,30.4,84.1,5.7,6.27,10873.0
Lohardaga,Gravelly Soil,Wheat,56,24.2,78.6,34.9,3.94,9004.0
Latehar,Sandy Loam,Barley,42,33.9,72.1,28.2,7.62,12983.0
Dumka,Red Sandy Soil,Linseed,24,30.9,65.6,48.3,8.71,12766.0
Koderma,Red Sandy Soil,Millet,110,20.4,52.7,36.7,2.73,6655.0
Simdega,Red Sandy Soil,Groundnut,52,34.9,62.7,17.2,0.73,6695.0
Seraikela-Kharsawan,Laterite Soil,Sorghum,34,23.8,54.6,6.8,3.1,8306.0
Giridih,Laterite Soil,Maize,3,36.5,86.7,24.1,6.91,12677.0
Dhanbad,Alluvial Soil,Rice,68,27.1,85.4,34.0,9.19,17358.0
Gumla,Black Soil,Sunflower,139,26.8,47.8,8.9,8.7,14668.0
Bokaro,Red Sandy Soil,Sesame,141,20.2,81.1,32.5,2.61,5847.0
Gumla,Alluvial Soil,Sunflower,50,39.8,75.1,41.3,8.87,14671.0
Latehar,Black Soil,Rice,82,32.2,88.8,7.9,8.2,17298.0
Seraikela-Kharsawan,Red Sandy Soil,Ragi,19,28.5,63.2,35.3,7.48,12128.0
Khunti,Laterite Soil,Groundnut,44,21.9,76.1,3.4,7.04,11579.0
Simdega,Black Soil,Groundnut,3,34.0,65.9,0.4,8.17,14285.0
Dumka,Sandy Loam,Sugarcane,113,25.7,43.5,1.6,8.69,20623.0
Giridih,Sandy Loam,Linseed,65,39.8,42.3,31.6,8.28,14259.0
Seraikela-Kharsawan,Sandy Loam,Wheat,39,39.0,46.1,48.7,1.66,8903.0
Seraikela-Kharsawan,Gravelly Soil,Groundnut,64,34.7,54.8,38.6,7.36,13114.0
Deoghar,Sandy Loam,Sesame,104,39.4,53.0,12.7,8.49,14886.0
Bokaro,Clay Loam,Ragi,13,22.1,76.4,3.6,2.26,6506.0
Hazaribagh,Red Sandy Soil,Sesame,68,25.6,75.8,30.8,2.53,6500.0
Lohardaga,Sandy Loam,Cotton,70,25.1,88.6,0.2,7.97,14518.0
Jamtara,Black Soil,Sesame,75,21.4,55.5,39.6,3.77,7753.0
Giridih,Clay Loam,Sunflower,1,39.4,86.9,12.2,4.3,10289.0
Bokaro,Clay Loam,Jowar,98,21.2,70.6,15.0,4.08,8282.0
Simdega,Clay Loam,Jowar,104,37.1,64.8,17.2,2.52,8442.0
Khunti,Alluvial Soil,Barley,116,35.4,73.4,38.2,9.42,14694.0
Hazaribagh,Black Soil,Mustard,137,27.5,75.1,13.3,8.16,12091.0
Simdega,Alluvial Soil,Ragi,113,20.4,48.6,14.2,2.88,7578.0
Godda,Clay Loam,Barley,103,20.1,77.6,27.0,1.51,5352.0
Bokaro,Gravelly Soil,Linseed,37,24.1,76.3,23.2,4.04,7597.0
Seraikela-Kharsawan,Sandy Loam,Linseed,106,29.9,89.9,47.8,4.45,7687.0
Seraikela-Kharsawan,Red Sandy Soil,Sugarcane,108,29.2,85.6,13.2,0.57,11358.0
Gumla,Black Soil,Millet,21,31.7,74.2,4.6,8.93,13982.0
Bokaro,Gravelly Soil,Mustard,148,35.4,75.6,27.0,8.59,13022.0
Chatra,Laterite Soil,Millet,129,27.5,87.3,9.2,8.58,12727.0
Koderma,Alluvial Soil,Jowar,28,23.2,88.4,20.7,8.16,11914.0
Khunti,Sandy Loam,Jowar,108,36.0,81.3,9.4,7.46,12933.0
Khunti,Sandy Loam,Jowar,9,26.7,78.4,44.0,6.53,10468.0
Deoghar,Laterite Soil,Groundnut,32,25.7,45.6,16.4,9.62,15194.0
Deoghar,Laterite Soil,Sugarcane,66,35.3,81.5,38.7,7.26,18271.0
Seraikela-Kharsawan,Black Soil,Cotton,100,38.7,52.7,47.4,6.49,14531.0
Gumla,Sandy Loam,Ragi,21,38.3,68.2,47.0,7.99,13234.0
Gumla,Laterite Soil,Sesame,82,22.7,60.3,26.2,2.84,7077.0
Seraikela-Kharsawan,Sandy Loam,Linseed,24,30.1,57.3,49.2,9.69,13897.0
Chatra,Gravelly Soil,Ragi,111,21.9,55.5,32.8,0.68,4949.0
Bokaro,Black Soil,Ragi,92,39.2,82.8,6.4,6.66,12368.0
Jamtara,Laterite Soil,Barley,12,24.3,78.5,44.4,1.23,5117.0
Jamtara,Gravelly Soil,Millet,139,23.9,66.2,23.4,8.61,12746.0
Giridih,Gravelly Soil,Ragi,23,37.8,73.2,7.6,9.69,15522.0
Seraikela-Kharsawan,Laterite Soil,Maize,92,39.4,89.2,39.6,4.38,10052.0
Godda,Black Soil,Sunflower,123,34.0,59.9,31.2,8.64,14519.0
Giridih,Sandy Loam,Barley,34,22.4,67.6,44.1,3.69,7720.0
Bokaro,Clay Loam,Rice,125,29.7,66.7,41.4,2.01,10851.0
Pakur,Sandy Loam,Wheat,57,36.3,86.8,16.0,3.13,9536.0
Hazaribagh,Red Sandy Soil,Mustard,3,31.4,57.6,12.8,3.37,8226.0
Simdega,Laterite Soil,Linseed,6,22.7,89.3,36.7,6.49,9247.0
Dumka,Alluvial Soil,Millet,48,23.4,55.2,28.7,8.06,12370.0
Chatra,Black Soil,Sugarcane,102,37.3,45.4,3.5,2.45,15448.0
Dumka,Laterite Soil,Linseed,120,30.5,49.6,9.1,1.34,6620.0
Koderma,Red Sandy Soil,Sunflower,13,34.1,61.3,7.6,2.61,8929.0
Bokaro,Gravelly Soil,Jowar,36,27.5,72.5,29.5,3.32,7805.0
Khunti,Alluvial Soil,Rice,70,30.6,65.8,4.3,3.16,12860.0
Dumka,Alluvial Soil,Wheat,33,39.5,58.8,10.4,2.59,10268.0
Dhanbad,Sandy Loam,Millet,105,26.6,68.1,27.3,4.93,9201.0
Khunti,Clay Loam,Cotton,57,33.5,81.9,6.7,8.63,16089.0
Hazaribagh,Sandy Loam,Jowar,55,23.5,81.9,12.4,1.45,5595.0
Seraikela-Kharsawan,Black Soil,Millet,107,22.4,76.3,45.3,8.69,11935.0
Dumka,Alluvial Soil,Sorghum,141,35.7,87.6,34.9,5.22,10064.0
Hazaribagh,Alluvial Soil,Maize,51,36.9,69.5,15.3,6.77,13269.0
Hazaribagh,Clay Loam,Maize,92,33.4,40.4,43.9,8.25,14700.0
Sahebganj,Black Soil,Ragi,53,23.2,54.5,12.5,3.39,8225.0
Lohardaga,Laterite Soil,Sugarcane,36,24.8,56.4,29.5,9.57,20468.0
Lohardaga,Clay Loam,Maize,133,38.2,67.4,18.4,1.3,7930.0
Latehar,Gravelly Soil,Cotton,119,25.8,85.2,37.6,5.51,11482.0
Koderma,Sandy Loam,Sugarcane,25,36.4,81.9,18.6,2.92,14431.0
Godda,Laterite Soil,Ragi,81,25.7,51.6,12.4,4.38,9554.0
Ranchi,Sandy Loam,Sorghum,37,38.8,66.0,30.4,4.76,10652.0
Godda,Clay Loam,Ragi,19,38.3,73.0,37.3,9.19,14484.0
Bokaro,Laterite Soil,Sorghum,35,20.9,89.4,26.8,4.7,8172.0
Koderma,Clay Loam,Mustard,107,35.4,41.6,35.8,7.13,12406.0
Gumla,Gravelly Soil,Sunflower,54,23.4,63.2,21.1,9.54,14462.0
Jamtara,Red Sandy Soil,Cotton,6,24.3,89.4,39.8,5.2,10852.0
Pakur,Alluvial Soil,Sugarcane,129,29.2,88.9,29.3,4.38,14747.0
Sahebganj,Black Soil,Cotton,34,31.5,56.5,9.8,9.74,17699.0
Ranchi,Laterite Soil,Ragi,56,26.5,40.0,44.5,8.36,13320.0
Godda,Alluvial Soil,Linseed,97,31.5,69.3,41.8,9.43,13565.0
Ranchi,Red Sandy Soil,Maize,26,23.4,83.3,48.2,4.27,8347.0
Gumla,Laterite Soil,Linseed,91,20.4,56.2,28.5,7.12,10804.0
Dumka,Alluvial Soil,Sorghum,38,31.4,86.7,33.8,2.87,7333.0
Koderma,Alluvial Soil,Ragi,59,30.3,56.6,43.2,8.73,13598.0
Hazaribagh,Laterite Soil,Mustard,127,33.8,70.5,2.6,9.36,14273.0
Dumka,Alluvial Soil,Cotton,24,33.0,76.1,45.6,3.04,9845.0
Bokaro,Alluvial Soil,Mustard,111,37.9,57.3,13.6,1.5,6999.0
Pakur,Laterite Soil,Sorghum,21,29.2,57.6,2.9,2.41,8144.0
Khunti,Black Soil,Wheat,60,20.2,63.5,11.9,6.51,12087.0
Godda,Alluvial Soil,Cotton,90,32.6,81.8,29.3,3.09,10010.0
Palamu,Alluvial Soil,Barley,148,33.5,45.0,2.4,6.57,13222.0
Jamtara,Black Soil,Jowar,6,30.4,71.6,0.0,3.83,9222.0
Godda,Sandy Loam,Maize,10,33.8,73.9,32.0,9.21,14933.0
Godda,Gravelly Soil,Millet,140,26.5,67.9,22.7,4.8,9159.0
Simdega,Sandy Loam,Mustard,97,23.0,86.8,42.2,5.23,7782.0
Dhanbad,Red Sandy Soil,Maize,80,33.3,70.1,12.9,3.81,9979.0
Pakur,Sandy Loam,Rice,17,24.9,71.7,14.0,1.19,9949.0
Dhanbad,Sandy Loam,Barley,138,29.1,70.0,3.9,5.19,10622.0
Dumka,Red Sandy Soil,Maize,140,29.8,76.1,26.9,7.86,13219.0
Sahebganj,Alluvial Soil,Sunflower,83,29.5,46.8,18.3,9.55,15630.0
Hazaribagh,Alluvial Soil,Linseed,40,32.0,84.7,17.0,1.23,5449.0
Sahebganj,Sandy Loam,Jowar,74,20.6,42.1,22.9,8.08,12919.0
Lohardaga,Red Sandy Soil,Barley,74,39.8,72.0,42.5,3.04,8710.0
Hazaribagh,Alluvial Soil,Jowar,50,34.3,70.8,5.3,8.32,14020.0
Seraikela-Kharsawan,Clay Loam,Ragi,10,28.5,50.4,26.2,3.75,8964.0
Deoghar,Laterite Soil,Maize,103,23.8,42.0,9.8,1.59,7714.0
Dumka,Laterite Soil,Barley,94,21.6,46.9,10.6,6.31,11551.0
Dumka,Gravelly Soil,Sunflower,132,33.4,53.6,12.8,8.99,15366.0
Palamu,Laterite Soil,Millet,129,26.3,84.1,23.0,2.23,6077.0
Ranchi,Sandy Loam,Sesame,43,24.6,82.8,24.7,0.71,4492.0
Simdega,Laterite Soil,Millet,83,27.6,43.2,43.6,8.9,13692.0
Chatra,Laterite Soil,Jowar,133,31.9,54.5,44.6,7.13,12293.0
Dumka,Clay Loam,Jowar,104,33.4,84.5,29.3,8.18,12899.0
Gumla,Alluvial Soil,Sunflower,34,32.9,51.8,14.1,1.07,7424.0
Giridih,Clay Loam,Wheat,24,37.3,89.8,40.9,8.96,14878.0
Lohardaga,Sandy Loam,Sorghum,142,24.4,52.8,39.6,4.48,9144.0
Simdega,Laterite Soil,Millet,41,32.7,77.0,39.9,9.03,13392.0
Seraikela-Kharsawan,Black Soil,Sunflower,13,22.0,60.9,0.8,1.12,6377.0
Jamtara,Alluvial Soil,Ragi,132,31.0,46.8,37.7,8.91,14252.0
Godda,Gravelly Soil,Millet,28,31.7,52.8,42.6,6.9,11834.0
Chatra,Gravelly Soil,Sunflower,83,24.3,73.8,30.3,5.77,10280.0
Lohardaga,Laterite Soil,Mustard,129,27.8,56.9,37.6,1.09,5111.0
Hazaribagh,Laterite Soil,Sugarcane,107,36.5,70.2,38.8,7.04,18508.0
Hazaribagh,Gravelly Soil,Cotton,13,23.0,50.3,25.3,6.18,13165.0
Pakur,Gravelly Soil,Mustard,114,28.7,62.4,40.7,7.4,11284.0
Palamu,Black Soil,Jowar,106,38.7,65.6,39.6,7.31,12920.0
Chatra,Sandy Loam,Groundnut,5,30.1,60.6,45.8,4.72,9696.0
Pakur,Laterite Soil,Cotton,97,34.5,49.9,46.1,2.44,10171.0
Chatra,Gravelly Soil,Linseed,14,36.5,63.1,26.5,9.23,14357.0
Dumka,Black Soil,Groundnut,80,24.1,74.6,1.6,9.29,14130.0
Hazaribagh,Red Sandy Soil,Rice,120,24.4,88.2,1.0,2.51,10984.0
Lohardaga,Gravelly Soil,Jowar,35,35.2,79.5,46.9,6.49,11187.0
Seraikela-Kharsawan,Alluvial Soil,Sesame,3,35.1,48.1,16.9,2.43,8459.0
Koderma,Alluvial Soil,Ragi,4,21.2,53.6,18.9,8.68,13214.0
Hazaribagh,Red Sandy Soil,Maize,135,26.4,43.9,23.5,1.43,7483.0
Ranchi,Sandy Loam,Sugarcane,131,28.0,46.8,13.3,9.91,21740.0
Khunti,Laterite Soil,Groundnut,81,36.6,52.5,29.5,6.3,12495.0
Bokaro,Laterite Soil,Cotton,111,28.4,50.0,39.2,0.72,7976.0
Hazaribagh,Gravelly Soil,Sorghum,59,38.5,50.7,12.9,8.88,15551.0
Latehar,Alluvial Soil,Jowar,74,39.9,51.5,37.2,7.0,13201.0
Hazaribagh,Sandy Loam,Mustard,129,35.6,55.0,33.6,7.12,12058.0
Gumla,Sandy Loam,Wheat,59,33.3,46.3,26.3,3.11,10225.0
Pakur,Sandy Loam,Linseed,118,27.8,53.9,16.3,3.7,8437.0
Giridih,Gravelly Soil,Sunflower,138,21.3,74.4,43.6,9.19,13116.0
Seraikela-Kharsawan,Laterite Soil,Barley,103,31.5,51.8,20.1,6.53,12424.0
Koderma,Sandy Loam,Millet,131,27.2,48.6,18.7,0.66,5748.0
Dumka,Gravelly Soil,Sugarcane,135,27.0,43.4,32.1,3.61,15066.0
Latehar,Gravelly Soil,Sorghum,9,33.8,65.0,46.0,6.19,11300.0
Latehar,Red Sandy Soil,Sugarcane,99,29.3,82.1,25.4,1.91,12569.0
Giridih,Clay Loam,Sesame,141,35.0,43.0,36.1,1.43,7218.0
Jamtara,Sandy Loam,Millet,114,28.0,67.1,22.8,1.06,5591.0
Latehar,Clay Loam,Millet,62,23.0,72.5,10.9,6.49,10597.0
Hazaribagh,Laterite Soil,Linseed,62,29.2,69.6,6.2,3.55,8158.0
Pakur,Gravelly Soil,Millet,10,39.0,83.9,6.8,4.05,9497.0
Deoghar,Black Soil,Sunflower,87,36.0,83.3,1.1,1.07,7049.0
Bokaro,Sandy Loam,Wheat,11,24.1,42.9,27.6,7.51,13781.0
Simdega,Black Soil,Rice,62,27.8,58.0,6.6,7.78,17388.0
Bokaro,Alluvial Soil,Ragi,77,38.6,73.5,43.3,8.38,13569.0
Latehar,Laterite Soil,Wheat,104,22.5,87.6,49.1,6.69,11030.0
Lohardaga,Red Sandy Soil,Mustard,56,25.1,80.2,24.8,7.85,11158.0
Bokaro,Red Sandy Soil,Ragi,110,25.2,48.8,22.5,5.98,10986.0
Ranchi,Clay Loam,Rice,49,31.4,54.0,17.4,5.17,15042.0
